Year,q_num,RawScore,MaxScore,value
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0,0.5,0
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,0,0.5,0
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,0.5,0.5,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,0,1,0
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,1,1,100
FS19,F27_M21c,1,1,100
FS19,F27_M21c,NA,1,NA
FS19,F27_M21c,NA,1,NA
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,1,2,50
FS19,F28_M22,1,2,50
FS19,F28_M22,2,2,100
FS19,F28_M22,1,2,50
FS19,F28_M22,1,2,50
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,1,2,50
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,1,2,50
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,1,2,50
FS19,F28_M22,2,2,100
FS19,F28_M22,0,2,0
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,1,2,50
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,2,2,100
FS19,F28_M22,1,2,50
FS19,F28_M22,2,2,100
